feature	frequency	rank	docfreq	group	Touch No.	Touch_desc	Type	Direction	Contact	Force	Speed (cm/s)	feature_x
make	19	2	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	6
feel	14	3	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	5
feel	18	1	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	5
comfort	17	2	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	1
make	16	3	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	6
attent	29	1	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	2
want	18	2	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	7
get_my_attent	17	3	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	3
attent	30	1	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	2
get_my_attent	27	2	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	3
want	13	3	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	7
attent	29	1	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	2
get_my_attent	25	2	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	3
want	24	3	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	7
attent	37	1	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	2
get_my_attent	21	2	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	3
want	19	3	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	7
comfort	37	1	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	1
show	21	2	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	4
want	20	3	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	7
comfort	25	1	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	1
show	13	2	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	4
feel	10	3	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	5
comfort	26	1	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	1
feel	14	2	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	5
want	12	3	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	7
