feature	frequency	rank	docfreq	group	Touch No.	Touch_desc	Type	Direction	Contact	Force	Speed (cm/s)	feature_x
sofa	11	2	1	17	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	2
home	48	1	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	1
room	10	2	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	6
offic	7	3	1	18	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	7
home	45	1	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	1
hous	6	2	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	4
offic	6	2	1	19	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	7
home	28	1	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	1
offic	10	2	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	7
doctor	9	3	1	2	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	8
home	38	1	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	1
room	13	2	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	6
hous	10	3	1	20	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	4
home	62	1	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	1
offic	9	2	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	7
sofa	9	2	1	21	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	2
home	51	1	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	1
room	11	2	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	6
offic	10	3	1	22	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	7
home	52	1	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	1
hous	14	2	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	4
room	8	3	1	23	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	6
home	46	1	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	1
offic	11	2	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	7
bedroom	9	3	1	24	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	5
home	34	1	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	1
work	10	2	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	3
sofa	10	2	1	3	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	2
home	20	1	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	1
work	11	2	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	3
hous	10	3	1	4	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	4
home	38	1	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	1
work	15	2	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	3
hous	10	3	1	5	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	4
home	30	1	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	1
offic	9	2	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	7
hous	8	3	1	6	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	4
home	49	1	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	1
hous	12	2	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	4
offic	8	3	1	7	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	7
home	31	1	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	1
offic	16	2	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	7
room	10	3	1	8	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	6
home	38	1	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	1
room	12	2	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	6
work	9	3	1	9	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	3
